"","IP0981_1701","IP0982_1701","IP0993_1701","IP0995_1701","IP0999_1701","IP7100_1701","IP7103_1701","IP7105_1701"
"A1BG",0.121445056937238,0.973642042707983,1.89903052078963,8.08044673172259,0.890997677586787,2.00678002875504,2.51470404439774,3.40040859555054
"A1BG-AS1",0.696010824782181,1.37320714427877,8.9562035258983,137.332073169079,5.64892757911253,45.0039460095944,7.20597972517266,7.01172949743741
"A1CF",3.60886536264958,5.0671462328844,7.31069539443796,0,6.43174398245074,1.54724866427741,0,6.30637415923029
"A2M",6.77772697005335,3.25027836692981,606.620776940461,6.08977882961653,34.5486757462145,678.04265337517,0.287000232336358,525.346004905228
"A2M-AS1",0.859070507693874,3.44364433199412,10.6968426489465,2.84699814076724,18.0676943694062,24.6877148522569,27.6707782143807,2.16699092942061
"A2ML1",0.0209111360334721,0,0.245239822147328,0.0479772286870997,0.425733028244629,0.0112675886104714,0.108249194496856,0.0237365952691428
"A2ML1-AS1",0,0,0,0,0.0406067535345155,0,0,0
"A2ML1-AS2",0,0.564023128698033,0.977860754976153,0,0.825836643417676,0,0,0
"A2MP1",0.00711794125832699,0,0,0,0.0626660577908515,0.0153414972240536,0,0.113115789950003
"A3GALT2",0.281801340601786,0.388307020015594,1.40763642449854,0.269394884077194,2.94614860042578,1.61966476079743,1.4587810092885,1.43944927757955
"A4GALT",1.30348613612904,3.95351661201655,15.9933873845029,0,7.38820514519607,1.0193543388432,0.955421481537869,0.759445763776178
"A4GNT",0.19394072516926,0,36.6949658048335,0.088993142297899,141.46190530994,0.418005851528264,0,3.96261900162693
"AAAS",38.203809472108,82.4226749144013,164.262406762199,122.340858294614,155.023267124174,138.847501493615,1.6013518248409,157.793612199034
"AACS",9.88104529849065,20.8349198139433,54.9036571716397,73.5724479804034,46.7103442206377,29.9292576046068,2.32603963702227,35.4483207768179
"AACSP1",0.0188467204871057,0.028330649929563,0,0.014413586734589,0.345678626360574,0.0135402873547271,0,0
"AADAC",10.8335786880924,28.4639759531441,34.2580948825017,0.0535687475351279,15.5195415665618,53.5437686746893,0,45.7441487671821
"AADACL2-AS1",0,0.0114507558663318,0.0198524567642217,0,0,0,0,0.0562040435364179
"AADACL4",0,0,0,0,0.0644404740242404,0,0,0.132935670777906
"AADACP1",7.19442108850547,2.01689925724406,69.1512020416531,0,0.101831805504936,0.897472842488053,0,26.8890970429183
"AADAT",4.19142154296227,16.4426440769548,49.4623200290421,0,18.1446099282428,2.05106123747661,0,21.7740146309113
"AAGAB",9.51155838836759,21.5999508824327,102.403906705946,130.794804989354,92.9501496459539,50.1537875472767,1.02245938111907,82.3102223456998
"AAK1",6.34543499416309,8.17055095431899,22.6672084127778,13.930406068771,21.8447136756271,45.0596686898191,0.998565196498926,29.5281821075299
"AAMDC",0.217868112069092,2.64601103479185,3.30765371677193,3.46730534024995,1.24067693629195,3.18269001649043,1.71858651501683,3.3837727129107
"AAMP",239.028285540539,351.615878664695,1363.0560941987,687.81262273653,1386.5200630959,903.731166364165,24.19420498857,1597.63539587948
"AANAT",0.120445449525969,0,0.0523166585478713,0.138171328113838,0,0.216332862561777,18.2893748201798,0.0455732435711385
"AAR2",19.3597043048244,17.5832309324904,75.845586581727,102.531455909548,59.5823084103125,63.663686262908,1.00167923961647,93.6349012649995
"AARD",0,0,0,1.35256822498528,0.117957877252493,1.03959652749671,0,0.730013695904817
"AARS1",53.9320808981827,85.9129347287754,445.546010624727,303.154110688062,334.648911705552,199.446640954978,6.09637746994886,558.80157873713
"AARS2",30.3958298772255,106.717181532643,138.328559734358,101.860225762588,139.934391783741,118.121887266442,4.29130735326823,163.627089173776
"AARSD1",13.0077982112594,42.0038180556025,26.1786313726077,12.5456572808605,48.7770849995708,25.3363003946585,1.496367694326,20.1793508182335
"AARSD1P1",1.51410870257785,0.975441027844735,0.563715358106433,0.992536626888006,1.90430711862636,0,13.4365356202589,5.40160091185783
"AASDH",2.20178063216335,8.75746717800735,21.2598144892594,18.4494331883828,21.8224828886288,12.9692300476035,0.141587597604835,12.3411632506938
"AASDHPPT",12.7963658846712,14.5467054865465,85.9445518564762,78.7572122972172,74.8822517090508,59.5385638170985,0.600834825563204,123.383370653485
